name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2387.465229	2	7
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2404.491779	2	8
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2304.272312	0	0
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2321.298861	0	1
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2338.325410	0	2
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2355.351960	0	3
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2372.378509	0	4
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2389.405058	0	5
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2406.431607	0	6
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2423.458156	0	7
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2440.484705	0	8
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2457.511254	0	9
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2474.537803	0	10
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2491.564352	0	11
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2326.254257	1	0
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2343.280806	1	1
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2360.307355	1	2
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2377.333904	1	3
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2394.360453	1	4
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2411.387002	1	5
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2428.413551	1	6
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2445.440100	1	7
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2462.466649	1	8
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2479.493198	1	9
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2496.519748	1	10
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2348.236201	2	0
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2365.262750	2	1
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2382.289299	2	2
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2399.315848	2	3
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2416.342397	2	4
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2433.368946	2	5
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2450.395495	2	6
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2467.422044	2	7
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2484.448594	2	8
HS_HexA5_HexN5_Ac0_S6_pNP	5	5	10	0	6	C66H100N6O71S6	2501.475143	2	9
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2384.229127	0	0
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2401.255676	0	1
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2418.282226	0	2
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2435.308775	0	3
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2452.335324	0	4
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2469.361873	0	5
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2486.388422	0	6
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2503.414971	0	7
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2520.441520	0	8
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2537.468069	0	9
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2554.494618	0	10
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2571.521167	0	11
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2588.547717	0	12
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2406.211072	1	0
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2423.237621	1	1
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2440.264170	1	2
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2457.290719	1	3
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2474.317268	1	4
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2491.343817	1	5
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2508.370366	1	6
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2525.396915	1	7
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2542.423464	1	8
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2559.450013	1	9
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2576.476563	1	10
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2593.503112	1	11
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2428.193016	2	0
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2445.219565	2	1
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2462.246114	2	2
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2479.272663	2	3
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2496.299212	2	4
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2513.325761	2	5
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2530.352310	2	6
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2547.378860	2	7
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2564.405409	2	8
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2581.431958	2	9
HS_HexA5_HexN5_Ac0_S7_pNP	5	5	10	0	7	C66H100N6O74S7	2598.458507	2	10
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2464.185942	0	0
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2481.212491	0	1
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2498.239041	0	2
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2515.265590	0	3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2532.292139	0	4
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2549.318688	0	5
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2566.345237	0	6
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2583.371786	0	7
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2600.398335	0	8
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2617.424884	0	9
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2634.451433	0	10
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2651.477982	0	11
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2668.504532	0	12
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2685.531081	0	13
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2486.167887	1	0
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2503.194436	1	1
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2520.220985	1	2
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2537.247534	1	3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2554.274083	1	4
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2571.300632	1	5
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2588.327181	1	6
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2605.353730	1	7
