name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_NH3
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3211.175688	11
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3228.202237	12
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3245.228786	13
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3262.255335	14
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3279.281884	15
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3296.308433	16
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3313.334982	17
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3330.361531	18
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3347.388081	19
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3364.414630	20
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1866.541987	0
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1883.568536	1
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1900.595085	2
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1917.621634	3
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1934.648183	4
HS_HexA5_HexN5_Ac1_S0_pNP	5	5	10	1	0	C68H102N6O54	1951.674732	5
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	1946.498802	0
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	1963.525351	1
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	1980.551900	2
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	1997.578449	3
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	2014.604998	4
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	2031.631547	5
HS_HexA5_HexN5_Ac1_S1_pNP	5	5	10	1	1	C68H102N6O57S	2048.658096	6
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2026.455617	0
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2043.482166	1
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2060.508715	2
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2077.535264	3
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2094.561813	4
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2111.588362	5
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2128.614911	6
HS_HexA5_HexN5_Ac1_S2_pNP	5	5	10	1	2	C68H102N6O60S2	2145.641461	7
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2106.412432	0
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2123.438981	1
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2140.465530	2
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2157.492079	3
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2174.518628	4
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2191.545177	5
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2208.571726	6
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2225.598276	7
HS_HexA5_HexN5_Ac1_S3_pNP	5	5	10	1	3	C68H102N6O63S3	2242.624825	8
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2186.369247	0
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2203.395796	1
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2220.422345	2
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2237.448894	3
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2254.475443	4
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2271.501992	5
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2288.528542	6
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2305.555091	7
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2322.581640	8
HS_HexA5_HexN5_Ac1_S4_pNP	5	5	10	1	4	C68H102N6O66S4	2339.608189	9
